MEGA_NM,SCHOOL_NM,위도,경도,ADDRESS,LAW_DONG,LAW_DONG_CODE,ADMINI_GU,ADMINI_DONG,ADMINI_DISTRICT_CODE,SCHOOL_ID
서울특별시,가톨릭대학교,37.58602458,127.0046115,"대한민국 서울특별시 종로구 혜화동 90-1,혜화동",혜화동,1111016900,종로구,혜화동,11110650,0
서울특별시,감리교신학대학교,37.56747618,126.962126,"대한민국 서울특별시 냉천동 31번지 100호 주년기념관 4층 서대문구 서울특별시 KR,냉천동",냉천동,1141010500,서대문구,천연동,11410520,1
서울특별시,건국대학교,37.54231372,127.0766525,대한민국 서울특별시 광진구 화양동 393-1,화양동,1121510700,광진구,화양동,11215710,2
서울특별시,경희대학교,37.59634472,127.0532586,대한민국 서울특별시 동대문구 경희대로 26 경희대학교 문과대학 사학과,회기동,1123010800,동대문구,회기동,11230710,3
서울특별시,그리스도대학교,37.54859483,126.854312,대한민국 서울특별시 강서구 까치산로24길 47,화곡동,1150010300,강서구,우장산동,11500615,4
서울특별시,그리스도대학교,37.54859483,126.854312,대한민국 서울특별시 강서구 까치산로24길 47,화곡동,1150010300,강서구,화곡본동,11500590,4
서울특별시,그리스도대학교,37.54859483,126.854312,대한민국 서울특별시 강서구 까치산로24길 47,화곡동,1150010300,강서구,화곡제1동,11500540,4
서울특별시,그리스도대학교,37.54859483,126.854312,대한민국 서울특별시 강서구 까치산로24길 47,화곡동,1150010300,강서구,화곡제2동,11500550,4
서울특별시,그리스도대학교,37.54859483,126.854312,대한민국 서울특별시 강서구 까치산로24길 47,화곡동,1150010300,강서구,화곡제3동,11500560,4
서울특별시,그리스도대학교,37.54859483,126.854312,대한민국 서울특별시 강서구 까치산로24길 47,화곡동,1150010300,강서구,화곡제4동,11500570,4
서울특별시,그리스도대학교,37.54859483,126.854312,대한민국 서울특별시 강서구 까치산로24길 47,화곡동,1150010300,강서구,화곡제6동,11500591,4
서울특별시,그리스도대학교,37.54859483,126.854312,대한민국 서울특별시 강서구 까치산로24길 47,화곡동,1150010300,강서구,화곡제8동,11500593,4
서울특별시,동덕여자대학교,37.60623625,127.0418418,대한민국 서울특별시 성북구 하월곡동 23-1,하월곡동,1129013600,성북구,길음제2동,11290685,5
서울특별시,동덕여자대학교,37.60623625,127.0418418,대한민국 서울특별시 성북구 하월곡동 23-1,하월곡동,1129013600,성북구,월곡제1동,11290715,5
서울특별시,동덕여자대학교,37.60623625,127.0418418,대한민국 서울특별시 성북구 하월곡동 23-1,하월곡동,1129013600,성북구,월곡제2동,11290725,5
서울특별시,동양미래대학,37.50061593,126.867553,대한민국 서울특별시 구로구 경인로 445-6,고척동,1153010600,구로구,고척제1동,11530720,6
서울특별시,동양미래대학,37.50061593,126.867553,대한민국 서울특별시 구로구 경인로 445-6,고척동,1153010600,구로구,고척제2동,11530730,6
서울특별시,디지털서울문화예술대학교,37.58538914,126.9438524,대한민국 서울특별시 서대문구 통일로37길 60,홍제동,1141011100,서대문구,홍제제1동,11410620,7
서울특별시,디지털서울문화예술대학교,37.58538914,126.9438524,대한민국 서울특별시 서대문구 통일로37길 60,홍제동,1141011100,서대문구,홍제제2동,11410655,7
서울특별시,디지털서울문화예술대학교,37.58538914,126.9438524,대한민국 서울특별시 서대문구 통일로37길 60,홍제동,1141011100,서대문구,홍제제3동,11410640,7
서울특별시,삼육대학교,37.6427123,127.1053049,대한민국 서울특별시 노원구 공릉동 26-21,공릉동,1135010300,노원구,공릉1.3동,11350605,8
서울특별시,삼육대학교,37.6427123,127.1053049,대한민국 서울특별시 노원구 공릉동 26-21,공릉동,1135010300,노원구,공릉2동,11350600,8
서울특별시,상명대학교,37.60267,126.9559074,대한민국 서울특별시 종로구 홍지동 63-35,홍지동,1111018500,종로구,부암동,11110550,9
서울특별시,서울교육대학교,37.4900454,127.0165143,대한민국 서울특별시 서초구 서초중앙로 96,서초동,1165010800,서초구,서초1동,11650510,10
서울특별시,서울교육대학교,37.4900454,127.0165143,대한민국 서울특별시 서초구 서초중앙로 96,서초동,1165010800,서초구,서초2동,11650520,10
서울특별시,서울교육대학교,37.4900454,127.0165143,대한민국 서울특별시 서초구 서초중앙로 96,서초동,1165010800,서초구,서초3동,11650530,10
서울특별시,서울교육대학교,37.4900454,127.0165143,대한민국 서울특별시 서초구 서초중앙로 96,서초동,1165010800,서초구,서초4동,11650531,10
서울특별시,서울대학교,37.46561429,126.9531001,대한민국 서울특별시 관악구 관악로 1,신림동,1162010200,관악구,난곡동,11620775,11
서울특별시,서울대학교,37.46561429,126.9531001,대한민국 서울특별시 관악구 관악로 1,신림동,1162010200,관악구,난향동,11620715,11
서울특별시,서울대학교,37.46561429,126.9531001,대한민국 서울특별시 관악구 관악로 1,신림동,1162010200,관악구,대학동,11620735,11
서울특별시,서울대학교,37.46561429,126.9531001,대한민국 서울특별시 관악구 관악로 1,신림동,1162010200,관악구,미성동,11620765,11
서울특별시,서울대학교,37.46561429,126.9531001,대한민국 서울특별시 관악구 관악로 1,신림동,1162010200,관악구,삼성동,11620745,11
서울특별시,서울대학교,37.46561429,126.9531001,대한민국 서울특별시 관악구 관악로 1,신림동,1162010200,관악구,서림동,11620665,11
서울특별시,서울대학교,37.46561429,126.9531001,대한민국 서울특별시 관악구 관악로 1,신림동,1162010200,관악구,서원동,11620645,11
서울특별시,서울대학교,37.46561429,126.9531001,대한민국 서울특별시 관악구 관악로 1,신림동,1162010200,관악구,신림동,11620695,11
서울특별시,서울대학교,37.46561429,126.9531001,대한민국 서울특별시 관악구 관악로 1,신림동,1162010200,관악구,신사동,11620685,11
서울특별시,서울대학교,37.46561429,126.9531001,대한민국 서울특별시 관악구 관악로 1,신림동,1162010200,관악구,신원동,11620655,11
서울특별시,서울대학교,37.46561429,126.9531001,대한민국 서울특별시 관악구 관악로 1,신림동,1162010200,관악구,조원동,11620725,11
서울특별시,서울사이버대학교,37.62967736,127.0270286,대한민국 서울특별시 강북구 솔매로49길 60,미아동,1130510100,강북구,미아동,11305535,12
서울특별시,서울사이버대학교,37.62967736,127.0270286,대한민국 서울특별시 강북구 솔매로49길 60,미아동,1130510100,강북구,삼각산동,11305575,12
서울특별시,서울사이버대학교,37.62967736,127.0270286,대한민국 서울특별시 강북구 솔매로49길 60,미아동,1130510100,강북구,삼양동,11305534,12
서울특별시,서울사이버대학교,37.62967736,127.0270286,대한민국 서울특별시 강북구 솔매로49길 60,미아동,1130510100,강북구,송중동,11305545,12
서울특별시,서울사이버대학교,37.62967736,127.0270286,대한민국 서울특별시 강북구 솔매로49길 60,미아동,1130510100,강북구,송천동,11305555,12
서울특별시,서울시립대학교,37.58348348,127.0573501,대한민국 서울특별시 동대문구 전농동 90,전농동,1123010400,동대문구,전농제1동,11230560,13
서울특별시,서울시립대학교,37.58348348,127.0573501,대한민국 서울특별시 동대문구 전농동 90,전농동,1123010400,동대문구,전농제2동,11230570,13
서울특별시,서울여자대학교,37.62750964,127.0908612,대한민국 서울특별시 노원구 공릉동 126,공릉동,1135010300,노원구,공릉1.3동,11350605,14
서울특별시,서울여자대학교,37.62750964,127.0908612,대한민국 서울특별시 노원구 공릉동 126,공릉동,1135010300,노원구,공릉2동,11350600,14
서울특별시,성균관대학교_인문사회과학캠퍼스,37.58776252,126.993843,대한민국 서울특별시 600주년기념관,명륜3가,1111017300,종로구,명륜3가동,11110660,15
서울특별시,세종사이버대학교,37.5535545,127.0726434,대한민국 서울특별시 광진구 군자동 군자로 121,군자동,1121510900,광진구,군자동,11215730,16
서울특별시,숭실대학교,37.49641349,126.9573188,대한민국 서울특별시 동작구 상도로 369,상도동,1159010200,동작구,상도제1동,11590530,17
